WKT,Status,x,y,Block
"POINT (4.50510493279262 34.6592152127586)",Not Start,4.5051049320,34.6592152100,G1
"POINT (4.50509896267243 34.659287981692)",Not Start,4.5050989620,34.6592879800,G1
"POINT (4.50509299255225 34.6593607506254)",Not Start,4.5050929920,34.6593607500,G1
"POINT (4.50508711320854 34.6594326241485)",Not Start,4.5050871130,34.6594326200,G1
"POINT (4.50508123386483 34.6595044976715)",Not Start,4.5050812330,34.6595044900,G1
"POINT (4.5050764274203 34.6595638053286)",Not Start,4.5050764270,34.6595638000,G1
"POINT (4.50507265086808 34.6596099798893)",Not Start,4.5050726500,34.6596099700,G1
"POINT (4.50506819111096 34.659663884963)",Not Start,4.5050681910,34.6596638800,G1
"POINT (4.50506373236247 34.6597177800876)",Not Start,4.5050637320,34.6597177800,G1
"POINT (4.5050586623021 34.6597806794723)",Not Start,4.5050586620,34.6597806700,G1
"POINT (4.5050534927517 34.6598435687706)",Not Start,4.5050534920,34.6598435600,G1
"POINT (4.5050483242099 34.65990644812)",Not Start,4.5050483240,34.6599064400,G1
"POINT (4.5050431546595 34.6599693374184)",Not Start,4.5050431540,34.6599693300,G1
"POINT (4.50503798510907 34.6600322267167)",Not Start,4.5050379850,34.6600322200,G1
"POINT (4.50503281555867 34.6600951160151)",Not Start,4.5050328150,34.6600951100,G1
"POINT (4.50502774549827 34.6601580153997)",Not Start,4.5050277450,34.6601580100,G1
"POINT (4.5050225769565 34.6602208947491)",Not Start,4.5050225770,34.6602208900,G1
"POINT (4.50501811719938 34.6602747998227)",Not Start,4.5050181170,34.6602747900,G1
"POINT (4.50501375794092 34.6603287050337)",Not Start,4.5050137570,34.6603287000,G1
"POINT (4.50500929818381 34.6603826101073)",Not Start,4.5050092980,34.6603826100,G1
"POINT (4.50500552163159 34.660428784668)",Not Start,4.5050055210,34.6604287800,G1
"POINT (4.50500061569706 34.6604880822388)",Not Start,4.5050006150,34.6604880800,G1
"POINT (4.50499473635332 34.6605599557619)",Not Start,4.5049947360,34.6605599500,G1
"POINT (4.50498876623313 34.6606327246953)",Not Start,4.5049887660,34.6606327200,G1
"POINT (4.50498279611295 34.6607054936286)",Not Start,4.5049827960,34.6607054900,G1
"POINT (4.50497691676924 34.6607773671517)",Not Start,4.5049769160,34.6607773600,G1
"POINT (4.50497103742553 34.6608492406748)",Not Start,4.5049710370,34.6608492400,G1
"POINT (4.50496506730535 34.6609220096082)",Not Start,4.5049650670,34.6609220000,G1
"POINT (4.50495909718516 34.6609947785415)",Not Start,4.5049590970,34.6609947700,G1
"POINT (4.50495321784145 34.6610666520646)",Not Start,4.5049532170,34.6610666500,G1
"POINT (4.50494733849774 34.6611385255877)",Not Start,4.5049473380,34.6611385200,G1
"POINT (4.50494253306184 34.6611978232958)",Not Start,4.5049425330,34.6611978200,G1
"POINT (4.50528386677494 34.6579846149133)",Not Start,4.5052838660,34.6579846100,G1
"POINT (4.50527906133903 34.6580439126214)",Not Start,4.5052790610,34.6580439100,G1
"POINT (4.50527308250529 34.6581157760582)",Not Start,4.5052730820,34.6581157700,G1
"POINT (4.50526720316158 34.6581876495813)",Not Start,4.5052672030,34.6581876400,G1
"POINT (4.50526123203277 34.6582604284637)",Not Start,4.5052612320,34.6582604200,G1
"POINT (4.50525526191259 34.658333197397)",Not Start,4.5052552610,34.6583331900,G1
"POINT (4.50524938256888 34.6584050709201)",Not Start,4.5052493820,34.6584050700,G1
"POINT (4.50524350322517 34.6584769444432)",Not Start,4.5052435030,34.6584769400,G1
"POINT (4.50523753310498 34.6585497133766)",Not Start,4.5052375330,34.6585497100,G1
"POINT (4.50523156298477 34.6586224823099)",Not Start,4.5052315630,34.6586224800,G1
"POINT (4.50522568364106 34.658694355833)",Not Start,4.5052256830,34.6586943500,G1
"POINT (4.50522087820518 34.6587536535411)",Not Start,4.5052208780,34.6587536500,G1
"POINT (4.50521691909139 34.6588016288714)",Not Start,4.5052169190,34.6588016200,G1
"POINT (4.50521211365549 34.6588609265795)",Not Start,4.5052121130,34.6588609200,G1
"POINT (4.50520613482175 34.6589327900163)",Not Start,4.5052061340,34.6589327900,G1
"POINT (4.50520016470156 34.6590055589497)",Not Start,4.5052001640,34.6590055500,G1
"POINT (4.50519429407141 34.6590783379693)",Not Start,4.5051942940,34.6590783300,G1
"POINT (4.50518831523767 34.6591502014061)",Not Start,4.5051883150,34.6591502000,G1
"POINT (4.50518243488533 34.6592220848782)",Not Start,4.5051824340,34.6592220800,G1
"POINT (4.50517646476515 34.6592948538116)",Not Start,4.5051764640,34.6592948500,G1
"POINT (4.50517049464496 34.6593676227449)",Not Start,4.5051704940,34.6593676200,G1
"POINT (4.50516461530123 34.659439496268)",Not Start,4.5051646150,34.6594394900,G1
"POINT (4.50515873595752 34.6595113697911)",Not Start,4.5051587360,34.6595113600,G1
"POINT (4.50515393052164 34.6595706674992)",Not Start,4.5051539300,34.6595706600,G1
"POINT (4.50514997140785 34.6596186428295)",Not Start,4.5051499710,34.6596186400,G1
"POINT (4.50514506648191 34.6596779304513)",Not Start,4.5051450660,34.6596779300,G1
"POINT (4.50513918713821 34.6597498039744)",Not Start,4.5051391870,34.6597498000,G1
"POINT (4.5051333077945 34.6598216774974)",Not Start,4.5051333070,34.6598216700,G1
"POINT (4.50512733767431 34.6598944464308)",Not Start,4.5051273370,34.6598944400,G1
"POINT (4.50512136755413 34.6599672153642)",Not Start,4.5051213670,34.6599672100,G1
"POINT (4.50511548821042 34.6600390888872)",Not Start,4.5051154880,34.6600390800,G1
"POINT (4.50510960886671 34.6601109624103)",Not Start,4.5051096080,34.6601109600,G1
"POINT (4.50510363773789 34.6601837412927)",Not Start,4.5051036370,34.6601837400,G1
"POINT (4.50509766761768 34.6602565102261)",Not Start,4.5050976670,34.6602565100,G1
"POINT (4.50509178827397 34.6603283837491)",Not Start,4.5050917880,34.6603283800,G1
"POINT (4.50508698283809 34.6603876814572)",Not Start,4.5050869820,34.6603876800,G1
"POINT (4.50508302372431 34.6604356567875)",Not Start,4.5050830230,34.6604356500,G1
"POINT (4.50507811879837 34.6604949444094)",Not Start,4.5050781180,34.6604949400,G1
"POINT (4.50507223945466 34.6605668179324)",Not Start,4.5050722390,34.6605668100,G1
"POINT (4.50506626933448 34.6606395868658)",Not Start,4.5050662690,34.6606395800,G1
"POINT (4.50506039870432 34.6607123658855)",Not Start,4.5050603980,34.6607123600,G1
"POINT (4.50505441987058 34.6607842293222)",Not Start,4.5050544190,34.6607842200,G1
"POINT (4.50504854052687 34.6608561028453)",Not Start,4.5050485400,34.6608561000,G1
"POINT (4.50504257040669 34.6609288717787)",Not Start,4.5050425700,34.6609288700,G1
"POINT (4.50503659927788 34.6610016506611)",Not Start,4.5050365990,34.6610016500,G1
"POINT (4.50503071993414 34.6610735241841)",Not Start,4.5050307190,34.6610735200,G1
"POINT (4.50502484059043 34.6611453977072)",Not Start,4.5050248400,34.6611453900,G1
"POINT (4.50502003515455 34.6612046954153)",Not Start,4.5050200350,34.6612046900,G1
"POINT (4.50536136987625 34.6579914770839)",Not Start,4.5053613690,34.6579914700,G1
"POINT (4.50535656343175 34.658050784741)",Not Start,4.5053565630,34.6580507800,G1
"POINT (4.50535068408804 34.658122658264)",Not Start,4.5053506840,34.6581226500,G1
"POINT (4.50534470525427 34.6581945217008)",Not Start,4.5053447050,34.6581945200,G1
"POINT (4.50533873513409 34.6582672906342)",Not Start,4.5053387350,34.6582672900,G1
"POINT (4.50533286450393 34.6583400696539)",Not Start,4.5053328640,34.6583400600,G1
"POINT (4.50532688567019 34.6584119330906)",Not Start,4.5053268850,34.6584119300,G1
